code,name,price,vol,trade_value,pe,industry,chip_ratio,value_billion,回檔%,今日漲幅%,chip_success
0050,元大台灣50,101.7,105138.918,10708319061,,其他,-34.61,107.08,6.94,-2.12,1
0051,元大中型100,137.95,115.186,15898896,,其他,0.04,0.16,9.0,-1.36,1
0052,富邦科技,59.5,28851.027,1718845033,,其他,6.1,17.19,8.18,-2.3,1
0053,元大電子,228.85,63.511,14595450,,其他,-14.17,0.15,8.46,-2.41,1
0055,元大MSCI金融,42.55,144.849,6159107,,其他,8.28,0.06,1.73,0.31,1
0056,元大高股息,50.2,29539.419,1486087634,,其他,-4.95,14.86,4.37,-0.89,1
0057,富邦摩台,303.7,13.259,4056937,,其他,0.02,0.04,6.41,-1.65,1
0061,元大寶滬深,24.92,474.668,11833568,,其他,-95.01,0.12,4.08,-0.84,1
1101,台泥,23.8,12078.546,288429340,,其他,-3.27,2.88,2.46,-0.83,1
1102,亞泥,32.75,6016.27,196632924,10.99,其他,20.63,1.97,5.48,0.15,1
1103,嘉泥,13.15,606.204,7955371,16.44,其他,12.04,0.08,0.89,0.38,1
1104,環泥,26.8,527.848,14102029,10.47,其他,13.07,0.14,3.42,0.94,1
1108,幸福,12.15,221.431,2685126,6.01,其他,0.0,0.03,7.37,-0.41,1
1109,信大,13.8,80.76,1113746,17.47,其他,-6.19,0.01,1.78,-0.36,1
1110,東泥,15.95,125.15,1992976,49.84,其他,0.0,0.02,1.85,-0.62,1
1201,味全,12.45,475.681,5863836,32.76,其他,16.61,0.06,1.86,0.4,1
1203,味王,46.9,32.735,1502646,27.27,其他,-18.33,0.02,2.09,-0.64,1
1210,大成,57.8,1632.459,93623689,13.7,其他,36.14,0.94,2.86,1.58,1
1213,大飲,7.24,15.909,113199,,其他,0.0,0.0,11.71,-5.36,1
1215,卜蜂,109.5,600.764,65472793,11.8,其他,28.3,0.65,5.6,0.0,1
1216,統一,77.4,15558.878,1199819738,20.92,其他,14.84,12.0,4.09,0.52,1
1217,愛之味,9.98,396.107,3933488,20.79,其他,35.85,0.04,2.63,0.3,1
1218,泰山,16.2,902.274,14533244,10.52,其他,49.87,0.15,10.25,1.57,1
1219,福壽,11.85,445.277,5224945,25.21,其他,46.27,0.05,5.58,1.72,1
1220,台榮,11.4,59.56,672737,570.0,其他,-3.36,0.01,2.49,0.0,1
1225,福懋油,26.65,91.458,2431234,15.58,其他,14.21,0.02,11.9,0.38,1
1227,佳格,29.2,1325.241,38529787,20.0,其他,63.16,0.39,0.27,1.39,1
1229,聯華,41.65,4520.45,188548265,16.02,其他,-22.13,1.89,2.46,-2.0,1
1231,聯華食,91.9,342.172,31380966,20.89,其他,11.98,0.31,1.18,-0.11,1
1232,大統益,154.0,188.67,28881428,17.8,其他,8.73,0.29,13.48,1.32,1
1233,天仁,29.2,15.095,436432,35.61,其他,0.0,0.0,1.83,0.17,1
1234,黑松,33.65,104.377,3496382,20.15,其他,15.33,0.03,1.32,0.15,1
1235,興泰,36.5,17.245,621152,,其他,34.79,0.01,3.95,1.96,1
1236,宏亞,23.55,36.366,852732,,其他,8.25,0.01,8.13,0.0,1
1256,鮮活果汁-KY,183.5,62.694,11517139,13.86,其他,-40.33,0.12,9.61,-2.39,1
1301,台塑,62.7,63817.125,4071365102,,其他,-33.03,40.71,10.17,-5.29,1
1303,南亞,177.5,74131.356,13653234628,76.84,其他,5.21,136.53,22.83,-9.9,1
1304,台聚,12.9,6223.996,81525279,,其他,-44.06,0.82,17.43,-4.09,1
1305,華夏,12.45,2620.634,33079168,,其他,-28.54,0.33,16.34,-2.35,1
1307,三芳,32.3,437.03,14055219,11.79,其他,-26.97,0.14,6.92,-0.92,1
1308,亞聚,14.1,3091.27,44097255,,其他,-25.36,0.44,15.91,-3.09,1
1309,台達化,14.8,8604.694,132224812,,其他,-22.73,1.32,10.47,-3.9,1
1310,台苯,9.96,3181.936,31865379,,其他,-33.82,0.32,20.0,-2.35,1
1312,國喬,13.2,20087.245,270832617,,其他,-28.76,2.71,14.29,-5.38,1
1313,聯成,11.95,3705.428,44388398,,其他,-43.6,0.44,17.59,-2.85,1
1314,中石化,8.27,24861.168,205808625,,其他,-18.05,2.06,22.71,-1.66,1
1315,達新,63.5,30.432,1936305,41.23,其他,29.57,0.02,2.76,-1.09,1
1316,上曜,10.25,597.805,6096243,,建材營建,23.42,0.06,8.89,0.49,1
1319,東陽,72.1,1887.857,136431695,12.94,其他,-1.42,1.36,10.21,-1.1,1
